Flag,Avg Min between sent tnx Grouped,Avg min between received tnx Grouped,Time Diff between first and last (Hours) Grouped,Sent tnx Grouped,Received Tnx Grouped,Number of Created Contracts Grouped,Unique Received From Addresses Grouped,Unique Sent To Addresses Grouped,min value received Grouped,max value received Grouped,avg val received Grouped,min val sent Grouped,max val sent Grouped
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
1,0to100,0to1,0to1,0to3,0to3,0to1,0to1,0to1,0to0.01,0to3,0to2,0to0.01,0to0.5
